,Unnamed: 0,Words,Meanings,Trend
0,0.0,abdicate,"to give up, often in a formal manner",
1,1.0,aberrant,unusual,
2,2.0,abeyance,temporary suspension,
3,3.0,abjure,"to give up, often in a formal manner",
4,4.0,abstemioius,"sparing in consumption, especially of food and drink",
5,5.0,abstruse,hard to understand,
6,6.0,accretion,an increase,
7,7.0,acerbic,sour; harsh,
8,8.0,acidulous,sour; sharp,
9,9.0,acme,highest point,
10,10.0,acumen,good judgment,
11,11.0,adroit,"highly skilled, especially with one's hands",
12,12.0,aerie,a nest; a home high on a mountain,
13,13.0,aesthetic,relating to beauty,
14,14.0,affable,friendly,
15,15.0,affected,fake; phony,
16,16.0,aggrandize,increase in size,
17,17.0,alacrity,liveliness and eagerness,
18,18.0,alchemy,magical power; process of turning base metals into gold,
19,19.0,amalgamation,a combination,
20,20.0,ameliorate,to make better,
21,21.0,amenable,agreeable,
22,22.0,amiable,friendly,
23,23.0,amortize,to eliminate debt by making payments,
24,24.0,amulet,a magical charm to ward off evil,
25,25.0,anachronistic,out of chronological order,
26,26.0,analgesic,capable of relieving pain,
27,27.0,anodyne,something that relieves pain,
28,28.0,anthropocentrism,theory that regards humans as the central element of the universe,
29,29.0,antipathy,strong dislike,
30,30.0,apathy,an absence of emotion or enthusiasm,
31,31.0,apocryphal,fake; untrue,
32,32.0,apostate,person who abandons their religion or cause,
33,33.0,approbation,approval,
34,34.0,archaic,so extremely old as seeming to belong to an earlier period,
35,35.0,ardor,intense passion,
36,36.0,arrogate,to claim without rights,
37,37.0,ascertain,to make certain,
38,38.0,ascetic,a person who practices self-denial as a spiritual discipline,
39,39.0,assail,to attack,
40,40.0,assiduous,constant and attentive,
41,41.0,assuage,to relieve or ease,
42,42.0,attenuate,to weaken,
43,43.0,audacious,bold and fearless,
44,44.0,augment,to enlarge or increase,
45,45.0,augury,divine prediction,
46,46.0,august,noble and dignified,
47,47.0,auspicious,favorable; fortunate,
48,48.0,austere,1. strict; disciplined; serious 2. simple; undecorated,
49,49.0,autonomy,independence,
50,50.0,avarice,extreme greed for material wealth,
51,51.0,avuncular,resembling an uncle in kindness or indulgence,
52,52.0,axiom,principle or rule,
53,53.0,banal,repeated too often; overfamiliar through overuse,
54,54.0,belfry,a bell tower,
55,55.0,benevolent,charitable; kind,
56,56.0,bevy,a large group,
57,57.0,bifurcate,to divide into two branches,
58,58.0,bilk,to cheat or swindle,
59,59.0,blight,any factor that causes decay or deterioration,
60,60.0,blithe,cheerful,
61,61.0,bombast,pompous or pretentious talk or writing,
62,62.0,bonhomie,friendliness,
63,63.0,boor,"a person who is rude, clumsy, and lacking social manners",
64,64.0,bromide,a common saying,
65,65.0,bucolic,relating to country life; rural,
66,66.0,burgeon,to flourish,
67,67.0,burnish,to polish,
68,68.0,byzantine,highly complex or intricate,
69,69.0,cabal,a secret group of plotters or schemers,
70,70.0,cacophony,"harsh, jarring sound",
71,71.0,cajole,"to influence by gentle urging, caressing, or flattering",
72,72.0,callous,insensitive; emotionally hardened,
73,73.0,calumny,a false statement intended to harm someone's reputation,
74,74.0,canard,false story or rumor,
75,75.0,canonical,authorized or accepted,
76,76.0,cantankerous,ill-tempered and unwilling to cooperate,
77,77.0,capricious,apt to change suddenly,
78,78.0,cartographer,a person who makes maps,
79,79.0,castigate,to criticize or punish severely,
80,80.0,cataclysm,a violent upheaval,
81,81.0,cathartic,inducing a release of tense emotions,
82,82.0,catholic,universal; liberal,
83,83.0,caustic,burning or stinging,
84,84.0,cavalier,a man who is chivalrous and gallant,
85,85.0,censure,strong disapproval,
86,86.0,charlatan,a person who falsely claims to possess skills or knowledge; an imposter,
87,87.0,chary,cautious; timid; choosy,
88,88.0,chicanery,the use of tricks to deceive someone,
89,89.0,churlish,rude and vulgar,
90,90.0,circumlocution,an indirect way of expressing something,
91,91.0,circumscribed,restricted,
92,92.0,circumspect,cautious; discreet,
93,93.0,clandestine,secret,
94,94.0,cloying,wearying through excess,
95,95.0,coalesce,to blend into one,
96,96.0,coffer,a box for storing valuables; funds,
97,97.0,cogent,convincing; telling,
98,98.0,collusion,a secret agreement; conspiracy,
99,99.0,conciliate,to win over; to make peace,
100,100.0,concomitant,existing or occurring at the same time,
101,101.0,conflagaration,a destructive fire,
102,102.0,conspicuous,obvious,
103,103.0,consummate,perfect and complete,
104,104.0,contrite,feeling guilty and remorseful,
