,Words,Meanings
0,abdicate,"to give up, often in a formal manner"
1,aberrant,unusual
2,abeyance,temporary suspension
3,abjure,"to give up, often in a formal manner"
4,abstemioius,"sparing in consumption, especially of food and drink"
5,abstruse,hard to understand
6,accretion,an increase
7,acerbic,sour; harsh
8,acidulous,sour; sharp
9,acme,highest point
10,acumen,good judgment
11,adroit,"highly skilled, especially with one's hands"
12,aerie,a nest; a home high on a mountain
13,aesthetic,relating to beauty
14,affable,friendly
15,affected,fake; phony
16,aggrandize,increase in size
17,alacrity,liveliness and eagerness
18,alchemy,magical power; process of turning base metals into gold
19,amalgamation,a combination
20,ameliorate,to make better
21,amenable,agreeable
22,amiable,friendly
23,amortize,to eliminate debt by making payments
24,amulet,a magical charm to ward off evil
25,anachronistic,out of chronological order
26,analgesic,capable of relieving pain
27,anodyne,something that relieves pain
28,anthropocentrism,theory that regards humans as the central element of the universe
29,antipathy,strong dislike
30,apathy,an absence of emotion or enthusiasm
31,apocryphal,fake; untrue
32,apostate,person who abandons their religion or cause
33,approbation,approval
34,archaic,so extremely old as seeming to belong to an earlier period
35,ardor,intense passion
36,arrogate,to claim without rights
37,ascertain,to make certain
38,ascetic,a person who practices self-denial as a spiritual discipline
39,assail,to attack
40,assiduous,constant and attentive
41,assuage,to relieve or ease
42,attenuate,to weaken
43,audacious,bold and fearless
44,augment,to enlarge or increase
45,augury,divine prediction
46,august,noble and dignified
47,auspicious,favorable; fortunate
48,austere,1. strict; disciplined; serious 2. simple; undecorated
49,autonomy,independence
50,avarice,extreme greed for material wealth
51,avuncular,resembling an uncle in kindness or indulgence
52,axiom,principle or rule
53,banal,repeated too often; overfamiliar through overuse
54,belfry,a bell tower
55,benevolent,charitable; kind
56,bevy,a large group
57,bifurcate,to divide into two branches
58,bilk,to cheat or swindle
59,blight,any factor that causes decay or deterioration
60,blithe,cheerful
61,bombast,pompous or pretentious talk or writing
62,bonhomie,friendliness
63,boor,"a person who is rude, clumsy, and lacking social manners"
64,bromide,a common saying
65,bucolic,relating to country life; rural
66,burgeon,to flourish
67,burnish,to polish
68,byzantine,highly complex or intricate
69,cabal,a secret group of plotters or schemers
70,cacophony,"harsh, jarring sound"
71,cajole,"to influence by gentle urging, caressing, or flattering"
72,callous,insensitive; emotionally hardened
73,calumny,a false statement intended to harm someone's reputation
74,canard,false story or rumor
75,canonical,authorized or accepted
76,cantankerous,ill-tempered and unwilling to cooperate
77,capricious,apt to change suddenly
78,cartographer,a person who makes maps
